"","Date","country","value","year"
"381","2003-03-30","Belgium",NA,2003
"382","2003-03-30","Bolivia",647,2003
"383","2003-03-30","Brazil",262,2003
"384","2003-03-30","Bulgaria",NA,2003
"385","2003-03-30","Canada",NA,2003
"386","2003-03-30","Chile",2,2003
"387","2003-03-30","France",NA,2003
"388","2003-03-30","Germany",NA,2003
"389","2003-03-30","Hungary",NA,2003
"390","2003-03-30","Japan",NA,2003
"391","2003-03-30","Mexico",NA,2003
"392","2003-03-30","Netherlands",NA,2003
"393","2003-03-30","New.Zealand",NA,2003
"394","2003-03-30","Norway",NA,2003
"395","2003-03-30","Paraguay",NA,2003
"396","2003-03-30","Peru",301,2003
"397","2003-03-30","Poland",NA,2003
"398","2003-03-30","Romania",753,2003
"399","2003-03-30","Russia",NA,2003
"400","2003-03-30","South.Africa",NA,2003
"401","2003-03-30","Spain",NA,2003
"402","2003-03-30","Sweden",NA,2003
"403","2003-03-30","Switzerland",NA,2003
"404","2003-03-30","Ukraine",NA,2003
"405","2003-03-30","United.States",NA,2003
"406","2003-03-30","Uruguay",104,2003
"407","2003-04-06","Argentina",187,2003
"408","2003-04-06","Australia",NA,2003
"409","2003-04-06","Austria",NA,2003
"410","2003-04-06","Belgium",NA,2003
"411","2003-04-06","Bolivia",636,2003
"412","2003-04-06","Brazil",308,2003
"413","2003-04-06","Bulgaria",NA,2003
"414","2003-04-06","Canada",NA,2003
"415","2003-04-06","Chile",1,2003
"416","2003-04-06","France",NA,2003
"417","2003-04-06","Germany",NA,2003
"418","2003-04-06","Hungary",NA,2003
"419","2003-04-06","Japan",NA,2003
"420","2003-04-06","Mexico",NA,2003
"421","2003-04-06","Netherlands",NA,2003
"422","2003-04-06","New.Zealand",NA,2003
"423","2003-04-06","Norway",NA,2003
"424","2003-04-06","Paraguay",NA,2003
"425","2003-04-06","Peru",401,2003
"426","2003-04-06","Poland",NA,2003
"427","2003-04-06","Romania",777,2003
"428","2003-04-06","Russia",NA,2003
"429","2003-04-06","South.Africa",NA,2003
"430","2003-04-06","Spain",NA,2003
"431","2003-04-06","Sweden",NA,2003
"432","2003-04-06","Switzerland",NA,2003
"433","2003-04-06","Ukraine",NA,2003
"434","2003-04-06","United.States",NA,2003
"435","2003-04-06","Uruguay",110,2003
"436","2003-04-13","Argentina",193,2003
"437","2003-04-13","Australia",NA,2003
"438","2003-04-13","Austria",NA,2003
"439","2003-04-13","Belgium",NA,2003
"440","2003-04-13","Bolivia",580,2003
"441","2003-04-13","Brazil",259,2003
"442","2003-04-13","Bulgaria",NA,2003
"443","2003-04-13","Canada",NA,2003
"444","2003-04-13","Chile",1,2003
"445","2003-04-13","France",NA,2003
"446","2003-04-13","Germany",NA,2003
"447","2003-04-13","Hungary",NA,2003
"448","2003-04-13","Japan",NA,2003
"449","2003-04-13","Mexico",NA,2003
"450","2003-04-13","Netherlands",NA,2003
"451","2003-04-13","New.Zealand",NA,2003
"452","2003-04-13","Norway",NA,2003
"453","2003-04-13","Paraguay",NA,2003
"454","2003-04-13","Peru",508,2003
"455","2003-04-13","Poland",NA,2003
"456","2003-04-13","Romania",757,2003
"457","2003-04-13","Russia",NA,2003
"458","2003-04-13","South.Africa",NA,2003
"459","2003-04-13","Spain",NA,2003
"460","2003-04-13","Sweden",NA,2003
"461","2003-04-13","Switzerland",NA,2003
"462","2003-04-13","Ukraine",NA,2003
"463","2003-04-13","United.States",NA,2003
"464","2003-04-13","Uruguay",111,2003
"465","2003-04-20","Argentina",186,2003
"466","2003-04-20","Australia",NA,2003
"467","2003-04-20","Austria",NA,2003
"468","2003-04-20","Belgium",NA,2003
"469","2003-04-20","Bolivia",537,2003
"470","2003-04-20","Brazil",287,2003
"471","2003-04-20","Bulgaria",NA,2003
"472","2003-04-20","Canada",NA,2003
"473","2003-04-20","Chile",1,2003
"474","2003-04-20","France",NA,2003
"475","2003-04-20","Germany",NA,2003
"476","2003-04-20","Hungary",NA,2003
"477","2003-04-20","Japan",NA,2003
"478","2003-04-20","Mexico",NA,2003
"479","2003-04-20","Netherlands",NA,2003
"480","2003-04-20","New.Zealand",NA,2003
"481","2003-04-20","Norway",NA,2003
"482","2003-04-20","Paraguay",NA,2003
"483","2003-04-20","Peru",527,2003
"484","2003-04-20","Poland",NA,2003
"485","2003-04-20","Romania",726,2003
"486","2003-04-20","Russia",NA,2003
"487","2003-04-20","South.Africa",NA,2003
"488","2003-04-20","Spain",NA,2003
"489","2003-04-20","Sweden",NA,2003
"490","2003-04-20","Switzerland",NA,2003
"491","2003-04-20","Ukraine",NA,2003
"492","2003-04-20","United.States",NA,2003
"493","2003-04-20","Uruguay",106,2003
"494","2003-04-27","Argentina",209,2003
"495","2003-04-27","Australia",NA,2003
"496","2003-04-27","Austria",NA,2003
"497","2003-04-27","Belgium",NA,2003
"498","2003-04-27","Bolivia",525,2003
"499","2003-04-27","Brazil",299,2003
"500","2003-04-27","Bulgaria",NA,2003
"501","2003-04-27","Canada",NA,2003
"502","2003-04-27","Chile",2,2003
"503","2003-04-27","France",NA,2003
"504","2003-04-27","Germany",NA,2003
"505","2003-04-27","Hungary",NA,2003
"506","2003-04-27","Japan",NA,2003
"507","2003-04-27","Mexico",NA,2003
"508","2003-04-27","Netherlands",NA,2003
"509","2003-04-27","New.Zealand",NA,2003
"510","2003-04-27","Norway",NA,2003
"511","2003-04-27","Paraguay",NA,2003
"512","2003-04-27","Peru",567,2003
"513","2003-04-27","Poland",NA,2003
"514","2003-04-27","Romania",703,2003
"515","2003-04-27","Russia",NA,2003
"516","2003-04-27","South.Africa",NA,2003
"517","2003-04-27","Spain",NA,2003
"518","2003-04-27","Sweden",NA,2003
"519","2003-04-27","Switzerland",NA,2003
"520","2003-04-27","Ukraine",NA,2003
"521","2003-04-27","United.States",NA,2003
"522","2003-04-27","Uruguay",104,2003
"523","2003-05-04","Argentina",239,2003
"524","2003-05-04","Australia",NA,2003
"525","2003-05-04","Austria",NA,2003
"526","2003-05-04","Belgium",NA,2003
"527","2003-05-04","Bolivia",493,2003
"528","2003-05-04","Brazil",319,2003
"529","2003-05-04","Bulgaria",NA,2003
"530","2003-05-04","Canada",NA,2003
"531","2003-05-04","Chile",4,2003
"532","2003-05-04","France",NA,2003
"533","2003-05-04","Germany",NA,2003
"534","2003-05-04","Hungary",NA,2003
"535","2003-05-04","Japan",NA,2003
"536","2003-05-04","Mexico",NA,2003
"537","2003-05-04","Netherlands",NA,2003
"538","2003-05-04","New.Zealand",NA,2003
"539","2003-05-04","Norway",NA,2003
"540","2003-05-04","Paraguay",NA,2003
"541","2003-05-04","Peru",494,2003
"542","2003-05-04","Poland",NA,2003
"543","2003-05-04","Romania",655,2003
"544","2003-05-04","Russia",NA,2003
"545","2003-05-04","South.Africa",NA,2003
"546","2003-05-04","Spain",NA,2003
"547","2003-05-04","Sweden",NA,2003
"548","2003-05-04","Switzerland",NA,2003
"549","2003-05-04","Ukraine",NA,2003
"550","2003-05-04","United.States",NA,2003
"551","2003-05-04","Uruguay",116,2003
"552","2003-05-11","Argentina",241,2003
"553","2003-05-11","Australia",NA,2003
"554","2003-05-11","Austria",NA,2003
"555","2003-05-11","Belgium",NA,2003
"556","2003-05-11","Bolivia",560,2003
"557","2003-05-11","Brazil",336,2003
"558","2003-05-11","Bulgaria",NA,2003
"559","2003-05-11","Canada",NA,2003
"560","2003-05-11","Chile",3,2003
"561","2003-05-11","France",NA,2003
"562","2003-05-11","Germany",NA,2003
"563","2003-05-11","Hungary",NA,2003
"564","2003-05-11","Japan",NA,2003
"565","2003-05-11","Mexico",NA,2003
"566","2003-05-11","Netherlands",NA,2003
"567","2003-05-11","New.Zealand",NA,2003
"568","2003-05-11","Norway",NA,2003
"569","2003-05-11","Paraguay",NA,2003
"570","2003-05-11","Peru",456,2003
"571","2003-05-11","Poland",NA,2003
"572","2003-05-11","Romania",657,2003
"573","2003-05-11","Russia",NA,2003
"574","2003-05-11","South.Africa",NA,2003
"575","2003-05-11","Spain",NA,2003
"576","2003-05-11","Sweden",NA,2003
"577","2003-05-11","Switzerland",NA,2003
"578","2003-05-11","Ukraine",NA,2003
"579","2003-05-11","United.States",NA,2003
"580","2003-05-11","Uruguay",122,2003
"581","2003-05-18","Argentina",232,2003
"582","2003-05-18","Australia",NA,2003
"583","2003-05-18","Austria",NA,2003
"584","2003-05-18","Belgium",NA,2003
"585","2003-05-18","Bolivia",539,2003
"586","2003-05-18","Brazil",361,2003
"587","2003-05-18","Bulgaria",NA,2003
"588","2003-05-18","Canada",NA,2003
"589","2003-05-18","Chile",1,2003
"590","2003-05-18","France",NA,2003
"591","2003-05-18","Germany",NA,2003
"592","2003-05-18","Hungary",NA,2003
"593","2003-05-18","Japan",NA,2003
"594","2003-05-18","Mexico",NA,2003
"595","2003-05-18","Netherlands",NA,2003
"596","2003-05-18","New.Zealand",NA,2003
"597","2003-05-18","Norway",NA,2003
"598","2003-05-18","Paraguay",NA,2003
"599","2003-05-18","Peru",450,2003
"600","2003-05-18","Poland",NA,2003
"601","2003-05-18","Romania",639,2003
"602","2003-05-18","Russia",NA,2003
"603","2003-05-18","South.Africa",NA,2003
"604","2003-05-18","Spain",NA,2003
"605","2003-05-18","Sweden",NA,2003
"606","2003-05-18","Switzerland",NA,2003
"607","2003-05-18","Ukraine",NA,2003
"608","2003-05-18","United.States",NA,2003
"609","2003-05-18","Uruguay",119,2003
"610","2003-05-25","Argentina",251,2003
"611","2003-05-25","Australia",NA,2003
"612","2003-05-25","Austria",NA,2003
"613","2003-05-25","Belgium",NA,2003
"614","2003-05-25","Bolivia",547,2003
"615","2003-05-25","Brazil",385,2003
"616","2003-05-25","Bulgaria",NA,2003
"617","2003-05-25","Canada",NA,2003
"618","2003-05-25","Chile",1,2003
"619","2003-05-25","France",NA,2003
"620","2003-05-25","Germany",NA,2003
"621","2003-05-25","Hungary",NA,2003
"622","2003-05-25","Japan",NA,2003
"623","2003-05-25","Mexico",NA,2003
"624","2003-05-25","Netherlands",NA,2003
"625","2003-05-25","New.Zealand",NA,2003
"626","2003-05-25","Norway",NA,2003
"627","2003-05-25","Paraguay",NA,2003
"628","2003-05-25","Peru",441,2003
"629","2003-05-25","Poland",NA,2003
"630","2003-05-25","Romania",613,2003
"631","2003-05-25","Russia",NA,2003
"632","2003-05-25","South.Africa",NA,2003
"633","2003-05-25","Spain",NA,2003
"634","2003-05-25","Sweden",NA,2003
"635","2003-05-25","Switzerland",NA,2003
"636","2003-05-25","Ukraine",NA,2003
"637","2003-05-25","United.States",NA,2003
"638","2003-05-25","Uruguay",118,2003
"639","2003-06-01","Argentina",253,2003
"640","2003-06-01","Australia",NA,2003
"641","2003-06-01","Austria",NA,2003
"642","2003-06-01","Belgium",NA,2003
"643","2003-06-01","Bolivia",567,2003
"644","2003-06-01","Brazil",403,2003
"645","2003-06-01","Bulgaria",NA,2003
"646","2003-06-01","Canada",NA,2003
"647","2003-06-01","Chile",2,2003
"648","2003-06-01","France",NA,2003
"649","2003-06-01","Germany",NA,2003
"650","2003-06-01","Hungary",NA,2003
"651","2003-06-01","Japan",NA,2003
"652","2003-06-01","Mexico",NA,2003
"653","2003-06-01","Netherlands",NA,2003
"654","2003-06-01","New.Zealand",NA,2003
"655","2003-06-01","Norway",NA,2003
"656","2003-06-01","Paraguay",NA,2003
"657","2003-06-01","Peru",497,2003
"658","2003-06-01","Poland",NA,2003
"659","2003-06-01","Romania",584,2003
"660","2003-06-01","Russia",NA,2003
"661","2003-06-01","South.Africa",NA,2003
"662","2003-06-01","Spain",NA,2003
"663","2003-06-01","Sweden",NA,2003
"664","2003-06-01","Switzerland",NA,2003
"665","2003-06-01","Ukraine",NA,2003
"666","2003-06-01","United.States",NA,2003
"667","2003-06-01","Uruguay",128,2003
"668","2003-06-08","Argentina",261,2003
"669","2003-06-08","Australia",NA,2003
"670","2003-06-08","Austria",NA,2003
"671","2003-06-08","Belgium",NA,2003
"672","2003-06-08","Bolivia",529,2003
"673","2003-06-08","Brazil",371,2003
"674","2003-06-08","Bulgaria",NA,2003
"675","2003-06-08","Canada",NA,2003
"676","2003-06-08","Chile",2,2003
